Day,Time Slot,MPO303 (Lab),MPO304 (Lab),MPO305,MPO306,MPO307,MPO308 (Gaming) (Lab),MPO308 (SHS) (Lab),MPO316 (Lab),MPO317 (Lab),MPO318 (Lab),MPO311,MPO319 (Lab),MPO320 (Lab),MPO321 (Lab),MPO322,MPO323,MPO324,MPO407 (Lab),MPO408
Monday,07:30 AM,Occupied,Occupied,Available,Available,Available,Available,Occupied,Occupied,Occupied,Occupied,Available,Available,Occupied,Available,Occupied,Available,Available,Occupied,Occupied
Monday,09:00 AM,Occupied,Occupied,Available,Available,Available,Available,Occupied,Occupied,Occupied,Occupied,Occupied,Available,Occupied,Available,Occupied,Occupied,Occupied,Occupied,Occupied
Monday,10:30 AM,Occupied,Occupied,Occupied,Occupied,Occupied,Available,Occupied,Occupied,Occupied,Occupied,Occupied,Available,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Available
Monday,12:00 PM,Occupied,Occupied,Occupied,Occupied,Available,Available,Available,Occupied,Occupied,Occupied,Occupied,Available,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied
Monday,01:30 PM,Occupied,Occupied,Occupied,Occupied,Available,Available,Available,Occupied,Occupied,Occupied,Occupied,Available,Occupied,Available,Occupied,Available,Occupied,Occupied,Occupied
Monday,03:00 PM,Occupied,Occupied,Occupied,Available,Occupied,Available,Available,Occupied,Occupied,Occupied,Occupied,Available,Occupied,Available,Occupied,Available,Occupied,Occupied,Available
Monday,04:30 PM,Available,Occupied,Occupied,Occupied,Occupied,Available,Available,Occupied,Available,Available,Occupied,Available,Available,Occupied,Occupied,Occupied,Occupied,Available,Occupied
Monday,06:00 PM,Occupied,Occupied,Occupied,Occupied,Available,Available,Available,Occupied,Available,Available,Available,Available,Available,Occupied,Occupied,Occupied,Available,Available,Occupied
Monday,07:30 PM,Occupied,Occupied,Occupied,Occupied,Available,Available,Available,Occupied,Available,Available,Available,Available,Available,Available,Available,Occupied,Available,Available,Occupied
Tuesday,07:30 AM,Available,Occupied,Available,Occupied,Available,Available,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Available,Available,Occupied,Available
Tuesday,09:00 AM,Available,Occupied,Occupied,Occupied,Occupied,Available,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,Available,Available,Occupied,Occupied
